file,time,word,vowel,stress,duration,F1,F2,F3,syllables,Language,WordForm,LatinScript,Gloss,VowelHeight,VowelBackness,Norm_F1,Norm_F2,Speaker,Gender
Speaker_2_female_additional,89.09930602373203,қазы,ə,NA,0.10626032869653557,542.1113174137033,1777.7766631207403,2844.82408961359,s2,Kaz,uninflected,qazy,judge,non-high,back,-0.030489261821534382,0.7002762791623957,Speaker_2,female
Speaker_3_male_additional,91.11521322238792,қазы,ɑ,NA,0.12497522154851026,673.2246671385442,1179.1024813710385,2442.8949338874127,s1,Kaz,uninflected,qazy,judge,non-high,back,1.7818747891171538,-0.6444739071660065,Speaker_3,male
Speaker_3_male_additional,91.3885106848951,қазы,ə,NA,0.15793571953932428,437.5147493404475,1289.668731524383,2406.133213546423,s2,Kaz,uninflected,qazy,judge,non-high,back,-0.22627304732636935,-0.3365982774745609,Speaker_3,male
Speaker_4_female_additional,69.95972988645465,қазы,ɑ,NA,0.1539396587171069,894.7389048736327,1669.056811627876,2956.133494238282,s1,Kaz,uninflected,qazy,judge,non-high,back,1.4302933501525201,-0.25618260125273584,Speaker_4,female
Speaker_4_female_additional,70.24007528119148,қазы,ə,NA,0.14142423930921666,573.7140364847493,1656.04702930219,3066.972755960323,s2,Kaz,uninflected,qazy,judge,non-high,back,-0.21632380094882545,-0.28455278208458445,Speaker_4,female
Speaker_1_male,190.5662032332694,қазының,ɑ,NA,0.09888149397244206,745.586082759907,1203.012141344585,2563.7226922856885,s1,Kaz,inflected,qazynyń,judge.GEN,non-high,back,1.8121272394144312,-0.6610249126556842,Speaker_1,male
Speaker_1_male,190.7768090392555,қазының,ə,NA,0.0504060095755392,563.4938599734285,1385.3437211860162,2887.717168443849,s2,Kaz,inflected,qazynyń,judge.GEN,non-high,back,0.5902436265165829,-0.20313875420034908,Speaker_1,male
Speaker_1_male,191.03795036076292,қазының,ə,NA,0.10574826438718787,277.2749943822951,1281.96603805594,2943.905106905677,s3,Kaz,inflected,qazynyń,judge.GEN,non-high,back,-1.3303553766495593,-0.4627493506730478,Speaker_1,male
Speaker_2_female,119.11368450396216,қазының,ɑ,NA,0.158646417354106,799.081403560138,1362.1133125486404,1644.3214095583835,s1,Kaz,inflected,qazynyń,judge.GEN,non-high,back,1.4605236221669249,-0.26308037397094824,Speaker_2,female
Speaker_2_female,119.45374742136984,қазының,ə,NA,0.17240051029349956,559.0831812735771,1358.842065689477,2436.634613211718,s2,Kaz,inflected,qazynyń,judge.GEN,non-high,back,-0.0184112442377248,-0.2694433112492394,Speaker_2,female
